pohlavi(1M,0Z)	vzdelani(SS,VS)	typ_vzdelani	Mesto<>vesnice	vychova_do_3_let	st_souroz.	ml_souroz.	doba_TV	filmy	dokument	zpravy	erotika	diskuzni	sport	!rozpozn_nalady
1	0.5	0.8	0	0.2	0	0	0.6	0	0	1	0	0	1	0.75
1	0.5	0.8	0	0.2	0	0.25	0.2333	1	0	0	0	0	0	0.4375
1	0.5	0.8	0.3333	0.2	0.3333	0	0.2	1	1	1	0	1	0	0.5625
1	0.5	0.8	1	0.2	0	1	0.1333	1	0	0	0	0	0	0.5
1	0.5	0.8	0	0.2	0	0.25	0.5	1	1	1	0	0	1	0.625
1	0.5	0.8	0.6667	0.2	0	0	0	0	0	0	0	0	0	0.6875
1	0.5	0.4	0.6667	0.2	0	0.25	0.1333	1	0	1	0	0	0	0.4375
1	0.5	0.8	0.6667	0.2	0	0.25	0.0667	1	1	1	0	0	0	0.6875
1	0.5	0.8	0.3333	0.6	0	0	0.1667	1	0	0	0	0	0	0.875
1	0.5	0.8	0.3333	0.2	0.3333	0	0.0667	0	0	1	0	0	0	0.6875
1	0.5	0.2	0	0.2	0	0.5	0.2	0	0	1	0	1	1	0.625
1	0.5	0.8	0.6667	0.2	0	0	0.2	1	0	1	0	0	1	0.75
1	0.5	0.4	0.6667	0.2	0	0.25	0.1333	1	0	1	0	0	0	0.5625
1	0.5	0	0	0.2	0	0.25	0.1	0	1	1	0	1	0	0.75
1	0.5	0	0.3333	0.2	0	0.25	0.0667	1	1	1	0	0	0	0.4375
1	0.5	0	0	0.2	0	0	0	0	0	0	0	0	0	0.5
1	0.5	0	0.3333	0.2	0	0.25	0.5	1	0	0	0	0	0	0.5
1	0.5	0	1	0.2	0	0.5	0.5333	0	0	0	0	0	1	0.5625
1	0.5	0	0	0.2	0	0.25	0.0667	0	1	0	0	0	0	0.75
1	0.5	0	0.3333	0.2	0	0.25	0	0	0	0	0	0	0	0.75
1	0.5	0.8	0	0.2	0	0	0.2333	1	1	1	0	0	0	0.875
1	0.5	0.8	0.6667	0.2	0.3333	0	0.0333	0	1	0	0	0	0	0.75
1	0.5	0.8	0	0.6	0.3333	0	0.7667	1	1	0	0	0	0	0.8125
1	0.5	0.8	0.6667	0.2	0	0.25	0.1	0	1	0	0	0	0	0.5
1	0.5	0	0	0.2	0.3333	0	0.0667	1	0	0	0	0	0	0.375
1	0.5	0	0.3333	0.2	0.3333	0	0.1333	1	0	0	0	0	0	0.6875
1	0.5	0.8	0.6667	0.2	0.3333	0	0.1333	0	0	1	0	0	0	0.625
1	0.5	0	0	0.2	0.3333	0	0.3	0	1	1	0	0	0	0.5625
1	0.5	0	0	0.2	0	0.25	0.3333	1	1	1	0	0	0	0.75
0	0.5	0.2	0.6667	0.2	1	0.5	0.1333	1	1	1	0	1	0	0.6875
0	0.5	0.2	0.3333	0.2	0	0	0.1333	0	1	1	0	0	0	0.75
0	0.5	0.4	0.6667	0.2	0.3333	0	0.0333	0	1	0	0	0	0	0.6875
0	0.5	0.8	0.6667	0.6	0	0.5	0.2667	1	1	0	0	0	0	0.5
0	0.5	0.8	0	0.2	0	0.75	0	0	0	0	0	0	0	0.3125
0	0.5	0.2	0	0.2	0.3333	0	0	0	0	0	0	0	0	0.6875
0	0.5	0.2	0.3333	0.6	0	0.25	0.1667	0	0	1	0	0	0	0.6875
0	0.5	0.4	0	0.2	0.3333	0	0.8333	0	1	1	0	0	1	0.5625
0	0.5	0.2	0.3333	0.2	0.3333	0	0.9333	1	1	0	0	0	0	0.625
0	0.5	0.2	1	0.2	0.3333	0.25	0.2667	1	1	1	0	0	0	0.5625
0	0.5	0.4	0.6667	0.2	0	0.75	0	1	1	0	0	0	0	0.5625
0	0.5	0.8	0.3333	0.2	0.3333	0	0.6667	1	1	1	0	0	0	0.875
0	0.5	0.2	0	0.2	0	0.25	0.0333	1	0	0	0	0	0	0.6875
0	0.5	0.2	1	0.2	0.3333	0.25	0.1667	1	1	1	0	0	0	0.6875
0	1	0.2	0	0.6	0.3333	0	0.0667	0	0	1	0	0	0	0.875
0	0.5	0.4	0.6667	0.2	0	0.25	0.1667	1	0	1	0	0	0	0.6875
0	1	0.4	0	0.2	0	0.25	0.1	0	0	1	0	1	0	0.875
0	0.5	0.8	0.6667	0.2	0	0	0.1667	1	0	1	0	0	0	0.6875
0	1	0.4	0.3333	0.2	0	0.25	0	0	0	0	0	0	0	0.875
0	0.5	0.4	0	0.2	0	0.25	0.5	1	0	0	0	0	0	0.625
0	1	0.4	1	0.2	0	0.25	0.0667	0	1	0	0	0	0	0.8125
0	0.5	0.4	0.6667	0.2	0	0	0.2333	0	1	1	0	0	0	0.6875
0	1	0.4	0	0.2	0.3333	0	0.3333	1	1	0	0	0	0	0.5625
0	0.5	0.4	1	0.2	0	0.25	0.6667	1	1	1	0	0	0	0.625
0	0.5	0	1	0.2	0	0.25	0.3333	0	1	1	0	0	0	0.8125
0	0.5	0	0.6667	0.2	0.3333	0	0.1	1	0	0	0	0	0	0.75
0	0.5	0	0.6667	0.2	0	0.25	0.4667	1	1	1	0	0	0	0.6875
0	0.5	0.4	0	0.2	0	0	0.7667	1	1	0	0	0	0	0.6875
0	0.5	0.4	0.6667	0.2	0	0	0.1667	1	0	0	0	0	0	0.625
0	0.5	0.4	0	0.2	0.3333	0	0.3333	1	1	1	0	0	0	0.8125
0	0.5	0	0	0.2	0	0.25	0.6667	1	1	0	0	0	0	0.625
0	0.5	0	0	0.2	0	0.25	0.3333	1	1	1	0	0	0	0.75
0	0.5	0	0	0.2	0.3333	0	0.3	1	0	1	0	0	1	1
0	0.5	0.8	0	0.2	0.6667	0	0.3	1	1	1	0	0	0	0.625
0	0.5	0	0	0.2	0	0.25	0.2667	1	1	1	0	1	0	0.6875
0	0.5	0	0.3333	0.2	0.6667	0	0.1667	1	1	1	0	1	0	0.75
0	0.5	0	0.6667	0.2	0	0	0.3333	1	0	1	0	0	0	0.875
0	0.5	0.8	0	0.2	0.3333	0	0.3333	1	1	0	0	0	0	0.6875
0	0.5	0	1	0.2	0	0	0.2	1	0	0	0	0	0	0.625
0	0.5	0	0.6667	0.2	0	0.25	0.0667	0	0	1	0	0	0	0.8125
0	0.5	0	0	0.2	0	0.25	0.0667	1	1	0	0	0	0	0.4375
0	0.5	0.8	0	0.2	0	0	0.2333	1	1	1	0	0	0	0.5625
0	0.5	0.6	0	0.2	0	0	0.1333	1	1	1	0	0	0	0.625
0	0.5	0	0	0.2	0.3333	0	0.3333	1	1	1	0	0	0	0.625
0	1	0	0	0.2	0.3333	0	0.1	1	1	1	0	1	0	0.5625
0	0.5	0.8	0.3333	0.2	0	0	0.2333	0	1	1	0	0	0	0.6875
0	0.5	0	0	0.2	0	0	0.1	1	0	1	0	0	1	0.625
0	0.5	0.8	0.6667	0.2	0	0	0.3333	0	0	1	0	0	0	0.5625
0	0.5	0.8	0.6667	0.2	0	0.75	0	0	0	0	0	0	0	0.625
0	0.5	0.2	1	0.2	0.3333	0	0.2333	1	0	1	0	0	0	0.75
0	0.5	0.6	0	0.2	0.3333	0	0.2667	1	1	0	0	0	0	0.4375
0	0.5	0.8	0	0.2	0.3333	0	0.7	1	0	1	0	1	0	0.75
0	0.5	0	0	0.2	0.3333	0.75	0.2667	1	0	0	0	0	0	0.75
0	0.5	0.8	0	0.2	0.3333	0	0.3333	1	1	1	0	0	0	0.4375
0	0.5	0	0	0.2	0	0	0.7	1	1	0	0	1	1	0.625
0	0.5	0	0	0.2	0	0.25	0.4667	1	0	0	0	0	0	0.625
0	0.5	0	0.3333	0.2	0	0.25	0.4667	1	1	1	1	1	0	0.9375
0	0.5	0	0.6667	0.2	0	0.25	0.1667	1	0	0	0	0	0	0.5
0	0.5	0.8	0.3333	0.2	0.3333	0.5	0.9333	1	1	0	0	0	0	0.6875
0	0.5	0.2	0	0.2	0	0.5	0.5	1	1	1	0	1	0	0.75
0	0.5	0.8	0	0.2	0	0.75	0.3333	1	0	1	0	0	0	0.6875
0	0.5	0.8	0	0.2	0	0	0.6667	1	0	0	0	0	0	0.5
0	0.5	0	0.3333	0.2	0	0.25	0.1	1	0	0	0	0	0	0.5625
0	0.5	0.8	0.6667	0.2	0	0.25	0.0667	1	1	1	0	1	0	0.5625
0	0.5	0	0	0.2	0.3333	0	0.0667	1	1	0	0	0	0	0.6875
0	0.5	0	0	0.2	0.3333	0	0.1	1	1	1	0	0	0	0.625
0	0.5	0.4	1	0.2	0.3333	0	0.4	1	1	1	0	0	0	0.625
0	0.5	0	0	0.2	0	0.5	0.3333	1	1	1	0	1	0	0.8125
0	0.5	0	1	0.2	0	0.25	0.1667	1	1	1	0	0	0	0.6875
0	1	0	1	0.2	0	0.25	0.1	1	0	1	0	0	1	0.5625
0	0.5	0	0	0.2	0	0.5	0.2	1	0	0	0	0	1	0.625
0	0.5	0.6	0	0.2	0.3333	0	0.1333	1	0	0	0	0	0	0.8125
0	0.5	0	0	0.2	0	0	0.5	1	1	1	0	1	0	0.6875
0	0.5	0	0	0.2	1	0.25	0.2667	1	0	1	0	0	0	0.625
0	0.5	0	0.3333	0.2	0	0.25	0.0667	1	0	1	0	0	0	0.5625
0	0.5	0.8	0.6667	0.2	0.6667	0.25	0.2	1	1	1	0	0	0	0.8125
0	0.5	0.8	0	0.2	0	0.25	0.5667	1	1	0	0	0	0	0.625
0	0.5	0.8	1	0.2	0	0.25	0.6667	1	0	1	0	0	0	0.75
0	0.5	0	0	0.2	0	0.75	0.5	1	1	1	0	1	0	0.75
0	0.5	0.8	0	0.2	0	0.25	0.3333	1	1	1	0	0	0	0.625
0	0.5	0.8	1	0.2	0	0.25	0.3333	1	0	0	0	0	0	0.6875
0	0.5	0.8	0.3333	0.2	0.3333	0	0.2	1	1	0	0	0	0	0.75
0	0.5	0	0	0.2	0	0.25	0.3333	1	0	1	0	0	0	0.9375
0	1	0	0	0.2	0	0	0.8333	1	1	1	0	0	0	0.75
0	0.5	0	0.6667	0.2	0	0.25	0.3333	1	1	0	0	0	0	0.6875
0	0.5	0.6	0	0.8	0	0.25	0.5	1	1	1	0	0	0	0.5
0	0.5	0	0	0.2	0	0	0.3333	0	1	1	0	0	0	0.75
0	0.5	0.8	0	0.2	0	0.25	0.2	1	1	1	0	0	0	0.75
